PROJECT,CLASS,COMPLEXITY
spring-data-graph,PrefixedDynamicProperties,35
spring-data-graph,PrefixedDynamicProperties,35
spring-data-graph,PrefixedDynamicProperties,35
spring-data-graph,PrefixedDynamicProperties,35
spring-data-graph,PropertyFieldAccessorFactory,3
spring-data-graph,PropertyFieldAccessorFactory,3
spring-data-graph,QueryFieldAccessorFactory,2
spring-data-graph,QueryFieldAccessorFactory,2
spring-data-graph,ReadOnlyOneToNRelationshipFieldAccessorFactory,4
spring-data-graph,ReadOnlyOneToNRelationshipFieldAccessorFactory,4
spring-data-graph,RelationshipDelegatingFieldAccessorFactory,3
spring-data-graph,RelationshipNodeFieldAccessorFactory,9
spring-data-graph,RelationshipNodeFieldAccessorFactory,9
spring-data-graph,SingleRelationshipFieldAccessorFactory,3
spring-data-graph,SingleRelationshipFieldAccessorFactory,3
spring-data-graph,TransientFieldAccessorFactory,2
spring-data-graph,TransientFieldAccessorFactory,2
spring-data-graph,TraversalFieldAccessorFactory,2
spring-data-graph,TraversalFieldAccessorFactory,2
spring-data-graph,ValidatingNodePropertyFieldAccessorListenerFactory,5
spring-data-graph,ValidatingNodePropertyFieldAccessorListenerFactory,5
spring-data-graph,Neo4JMappingContext,2
spring-data-graph,Neo4JPersistentEntityImpl,5
spring-data-graph,Neo4JPersistentPropertyImpl,32
spring-data-graph,Neo4JPersistentPropertyImpl,32
spring-data-graph,RelationshipInfo,19
spring-data-graph,AbstractGraphRepository,47
spring-data-graph,AbstractGraphRepository,47
spring-data-graph,DirectGraphRepositoryFactory,4
spring-data-graph,GraphMetamodelEntityInformation,8
spring-data-graph,GraphRepositoryFactory,10
spring-data-graph,GraphRepositoryFactory,10
spring-data-graph,GraphRepositoryFactory,10
spring-data-graph,GraphRepositoryFactory,10
spring-data-graph,GraphRepositoryFactory,10
spring-data-graph,GraphRepositoryFactoryBean,4
spring-data-graph,NodeGraphRepository,5
spring-data-graph,RelationshipGraphRepository,5
spring-data-graph,CypherQuery,3
spring-data-graph,MatchClause,9
spring-data-graph,ProvidedClassPathXmlApplicationContext,2
spring-data-graph,SpringPluginInitializer,5
spring-data-graph,SpringPluginInitializer,5
spring-data-graph,EntityResultConverter,7
spring-data-graph,Neo4jHelper,5
spring-data-graph,NodeEntityInstantiator,2
spring-data-graph,NodeEntityState,10
spring-data-graph,NodeEntityStateFactory,11
spring-data-graph,PartialNodeEntityInstantiator,4
spring-data-graph,PartialNodeEntityState,18
spring-data-graph,PartialNodeEntityState,18
spring-data-graph,ConvertingEntityPath,25
spring-data-graph,EntityEvaluator,1
spring-data-graph,EntityMapper,2
spring-data-graph,EntityMapper,2
spring-data-graph,EntityPathPathIterableWrapper,2
spring-data-graph,NodePath,8
spring-data-graph,PathMapper,0
spring-data-graph,PathMappingIterator,15
spring-data-graph,RelationshipPath,8
spring-data-graph,DelegatingGraphDatabase,34
spring-data-graph,DoReturn,4
spring-data-graph,GenericTypeExtractor,6
spring-data-graph,GraphBackedEntityIterableWrapper,3
spring-data-graph,GraphDatabaseContext,52
spring-data-graph,GraphDatabaseFactory,17
spring-data-graph,Tuple2,3
spring-data-graph,ConversionServiceQueryResultConverter,3
spring-data-graph,CypherQueryEngine,7
spring-data-graph,CypherQueryExecutor,6
spring-data-graph,EntityResultConverter2,9
spring-data-graph,GremlinExecutor,18
spring-data-graph,GremlinQueryEngine,5
spring-data-graph,RelationshipEntityInstantiator,2
spring-data-graph,RelationshipEntityState,8
spring-data-graph,RelationshipEntityStateFactory,4
spring-data-graph,EntityTypeCache,5
spring-data-graph,IndexingNodeTypeRepresentationStrategy,18
spring-data-graph,IndexingNodeTypeRepresentationStrategy,18
spring-data-graph,IndexingRelationshipTypeRepresentationStrategy,18
spring-data-graph,IndexingRelationshipTypeRepresentationStrategy,18
spring-data-graph,NoopNodeTypeRepresentationStrategy,8
spring-data-graph,NoopRelationshipTypeRepresentationStrategy,8
spring-data-graph,SubReferenceNodeTypeRepresentationStrategy,44
spring-data-graph,SubReferenceNodeTypeRepresentationStrategy,44
spring-data-graph,TypeRepresentationStrategyFactory,9
spring-data-graph,TypeRepresentationStrategyFactory,9
spring-data-graph,GraphCallback,0
spring-data-graph,Neo4jExceptionTranslator,14
spring-data-graph,Neo4jTemplate,39
spring-data-graph,PropertyMap,4
spring-data-graph,Converter,6
spring-data-graph,ChainedTransactionManager,19
spring-data-graph,DefaultSynchronizationManager,3
spring-data-graph,JotmFactoryBean,15
spring-data-graph,MultiTransactionStatus,18
spring-data-graph,MultiTransactionStatus,18
spring-data-graph,SpringProvider,2
spring-data-graph,SpringServiceImpl,12
spring-roo,BackupCommands,2
spring-roo,BackupOperationsImpl,20
spring-roo,CacheCommands,9
spring-roo,CacheOperationsImpl,17
spring-roo,GuavaCacheProvider,6
spring-roo,ConfigurableMetadata,9
spring-roo,ConfigurableMetadataProviderImpl,7
spring-roo,CreatorCommands,7
spring-roo,CreatorOperationsImpl,82
spring-roo,DataOnDemandAnnotationValues,3
spring-roo,DataOnDemandCommands,4
spring-roo,DataOnDemandMetadata,193
spring-roo,DataOnDemandMetadataProviderImpl,57
spring-roo,DataOnDemandOperationsImpl,4
spring-roo,EmbeddedHolder,4
spring-roo,EmbeddedIdHolder,4
spring-roo,DataOnDemandAnnotationValuesTest,2
spring-roo,DtoAnnotationValues,2
spring-roo,DtoCommands,53
spring-roo,DtoFieldCreatorProvider,160
spring-roo,DtoMetadata,11
spring-roo,DtoMetadataProviderImpl,8
spring-roo,DtoOperationsImpl,37
spring-roo,EntityProjectionAnnotationValues,3
spring-roo,EntityProjectionMetadata,9
spring-roo,EntityProjectionMetadataProviderImpl,14
spring-roo,FieldCommands,199
spring-roo,FinderMethod,7
spring-roo,Direction,6
spring-roo,FinderParameter,6
spring-roo,Part,42
spring-roo,Order,10
spring-roo,OrderBySource,12
spring-roo,PartTree,49
spring-roo,Subject,52
spring-roo,Type,28
spring-roo,OrPart,8
spring-roo,Predicate,40
spring-roo,PartTreeUnitTest,97
spring-roo,DynamicFinderServicesImpl,86
spring-roo,FieldToken,7
spring-roo,FinderAnnotationValues,2
spring-roo,FinderCommands,61
spring-roo,FinderFieldTokenMissingException,1
spring-roo,FinderMetadata,16
spring-roo,FinderMetadataProviderImpl,24
spring-roo,FinderOperationsImpl,60
spring-roo,InvalidFinderException,1
spring-roo,QueryHolder,5
spring-roo,ReservedToken,13
spring-roo,ReservedTokenHolder,5
spring-roo,EqualsAnnotationValues,3
spring-roo,EqualsCommands,6
spring-roo,EqualsMetadata,14
spring-roo,EqualsMetadataProviderImpl,19
spring-roo,EqualsOperationsImpl,5
spring-roo,ExcludeFieldsConverter,4
spring-roo,JavaBeanAnnotationValues,3
spring-roo,JavaBeanMetadata,65
spring-roo,JavaBeanMetadataProvider,30
spring-roo,SerializableMetadataProviderImpl,7
spring-roo,ToStringAnnotationValues,3
spring-roo,ToStringMetadata,29
spring-roo,ToStringMetadataProvider,16
spring-roo,SerializableMetadata,12
spring-roo,JavaBeanAnnotationValuesTest,2
spring-roo,SerializableMetadataTest,8
spring-roo,EmbeddableFieldCreatorProvider,203
spring-roo,IdentifierStrategy,1
spring-roo,JpaEntityAnnotationValues,16
spring-roo,JpaEntityMetadata,107
spring-roo,JpaEntityMetadataProviderImpl,20
spring-roo,JpaFieldCreatorProvider,206
spring-roo,JpaEntityAnnotationValuesTest,2
spring-roo,Identifier,31
spring-roo,IdentifierAnnotationValues,5
spring-roo,IdentifierMetadata,42
spring-roo,IdentifierMetadataProviderImpl,12
spring-roo,IdentifierAnnotationValuesTest,2
spring-roo,JpaEntityResource,25
spring-roo,JpaResource,44
spring-roo,AbstractIdentifierServiceAwareMetadataProvider,4
spring-roo,DatabaseDotComOperationsImpl,8
spring-roo,GaeOperationsImpl,8
spring-roo,JdbcDatabase,6
spring-roo,JpaCommands,106
spring-roo,JpaOperationsImpl,81
spring-roo,OrmProvider,4
spring-roo,JpaOperationsImplTest,6
spring-roo,CustomFinderMethod,8
spring-roo,RepositoryJpaAnnotationValues,2
spring-roo,RepositoryJpaCommands,46
spring-roo,RepositoryJpaCustomAnnotationValues,3
spring-roo,RepositoryJpaCustomImplAnnotationValues,2
spring-roo,RepositoryJpaCustomImplMetadata,41
spring-roo,RepositoryJpaCustomImplMetadataProviderImpl,50
spring-roo,RepositoryJpaCustomMetadata,22
spring-roo,RepositoryJpaCustomMetadataProviderImpl,35
spring-roo,RepositoryJpaLocatorImpl,5
spring-roo,RepositoryJpaMetadata,13
spring-roo,RepositoryJpaMetadataProviderImpl,28
spring-roo,RepositoryJpaOperationsImpl,63
spring-roo,RepositoryJpaLayerMethod,19
spring-roo,RepositoryJpaLayerProvider,7
spring-roo,RepositoryJpaAnnotationValuesTest,2
spring-roo,RepositoryJpaLayerProviderTest,7
spring-roo,RepositoryLayerMethodTest,4
spring-roo,ServiceAnnotationValues,2
spring-roo,ServiceCommands,49
spring-roo,ServiceImplAnnotationValues,2
spring-roo,ServiceImplMetadata,22
spring-roo,ServiceImplMetadataProviderImpl,20
spring-roo,ServiceMetadata,40
spring-roo,ServiceMetadataProviderImpl,25
spring-roo,ServiceOperationsImpl,26
spring-roo,OsCommands,4
spring-roo,OsOperationsImpl,4
spring-roo,OsOperationsImpl,4
spring-roo,PluralAnnotationValues,2
spring-roo,PluralMetadata,27
spring-roo,PluralMetadataProviderImpl,7
spring-roo,PluralAnnotationValuesTest,2
spring-roo,PropFileCommands,15
spring-roo,PropFileOperationsImpl,6
spring-roo,PushInCommands,30
spring-roo,PushInOperationsImpl,55
spring-roo,AuditAnnotationValues,5
spring-roo,AuditCommands,10
spring-roo,AuditMetadata,23
spring-roo,AuditMetadataProviderImpl,8
spring-roo,AuditOperationsImpl,35
spring-roo,SecurityCommands,7
spring-roo,SecurityConfigurationAnnotationValues,3
spring-roo,SecurityMetadata,8
spring-roo,SecurityMetadataProviderImpl,12
spring-roo,SecurityOperationsImpl,26
spring-roo,IntegrationTestAnnotationValues,12
spring-roo,IntegrationTestCommands,3
spring-roo,IntegrationTestMetadata,78
spring-roo,IntegrationTestMetadataProviderImpl,44
spring-roo,IntegrationTestOperationsImpl,10
spring-roo,IntegrationTestAnnotationValuesTest,2
spring-roo,UnitTestAnnotationValues,2
spring-roo,UnitTestCommands,4
spring-roo,UnitTestMetadata,20
spring-roo,UnitTestMetadataProviderImpl,15
spring-roo,UnitTestOperationsImpl,6
spring-roo,WebMvcConfigurationMetadata,19
spring-roo,WebMvcConfigurationMetadataProviderImpl,19
spring-roo,WebMvcJSONConfigurationMetadata,13
spring-roo,WebMvcJSONConfigurationMetadataProviderImpl,11
spring-roo,DateTimeFormatDetails,3
spring-roo,FinderMetadataDetails,9
spring-roo,JavaTypeMetadataDetails,14
spring-roo,JavaTypeMetadataDetailsTest,3
spring-roo,JavaTypePersistenceMetadataDetails,17
spring-roo,WebMetadataServiceImpl,90
spring-roo,SearchAnnotationValues,2
spring-roo,WebFinderCommands,66
spring-roo,WebFinderMetadata,38
spring-roo,WebFinderMetadataProviderImpl,17
spring-roo,WebFinderOperationsImpl,40
spring-roo,ControllerCommands,80
spring-roo,ControllerDetailInfo,14
spring-roo,ControllerMVCServiceImpl,35
spring-roo,ControllerMetadata,29
spring-roo,ControllerMetadataProviderImpl,45
spring-roo,ControllerOperationsImpl,125
spring-roo,DetailAnnotationValues,2
spring-roo,JSONMVCResponseService,26
spring-roo,JSONMetadata,23
spring-roo,JSONMetadataProviderImpl,115
spring-roo,WebScaffoldAnnotationValues,11
spring-roo,WebScaffoldAnnotationValuesTest,2
spring-roo,WebScaffoldMetadata,81
