PROJECT,CLASS,COMPLEXITY,COUPLING
spring-data-graph,EntityMapper,2,10
spring-data-graph,EntityPathPathIterableWrapper,2,8
spring-data-graph,NodePath,8,5
spring-data-graph,PathMapper,0,6
spring-data-graph,PathMappingIterator,15,9
spring-data-graph,RelationshipPath,8,4
spring-data-graph,DelegatingGraphDatabase,34,17
spring-data-graph,DoReturn,4,3
spring-data-graph,GenericTypeExtractor,6,0
spring-data-graph,GraphBackedEntityIterableWrapper,3,10
spring-data-graph,GraphDatabaseContext,52,29
spring-data-graph,GraphDatabaseFactory,17,4
spring-data-graph,Tuple2,3,3
spring-data-graph,ConversionServiceQueryResultConverter,3,4
spring-data-graph,CypherQueryEngine,7,11
spring-data-graph,CypherQueryExecutor,6,7
spring-data-graph,EntityResultConverter2,9,8
spring-data-graph,GremlinExecutor,18,10
spring-data-graph,GremlinQueryEngine,5,7
spring-data-graph,RelationshipEntityInstantiator,2,5
spring-data-graph,RelationshipEntityState,8,9
spring-data-graph,RelationshipEntityStateFactory,4,8
spring-data-graph,EntityTypeCache,5,3
spring-data-graph,IndexingNodeTypeRepresentationStrategy,18,23
spring-data-graph,IndexingRelationshipTypeRepresentationStrategy,18,21
spring-data-graph,NoopNodeTypeRepresentationStrategy,8,5
spring-data-graph,NoopRelationshipTypeRepresentationStrategy,8,5
spring-data-graph,SubReferenceNodeTypeRepresentationStrategy,44,25
spring-data-graph,TypeRepresentationStrategyFactory,9,16
spring-data-graph,GraphCallback,0,4
spring-data-graph,Neo4jExceptionTranslator,14,9
spring-data-graph,Neo4jTemplate,39,36
spring-data-graph,PropertyMap,4,1
spring-data-graph,Converter,6,1
spring-data-graph,ChainedTransactionManager,19,10
spring-data-graph,DefaultSynchronizationManager,3,1
spring-data-graph,JotmFactoryBean,15,5
spring-data-graph,MultiTransactionStatus,18,5
spring-data-graph,SpringProvider,2,7
spring-data-graph,SpringServiceImpl,12,7
spring-roo,BackupCommands,2,7
spring-roo,BackupOperationsImpl,20,12
spring-roo,CacheCommands,9,16
spring-roo,CacheOperationsImpl,17,20
spring-roo,GuavaCacheProvider,6,10
spring-roo,ConfigurableMetadata,9,6
spring-roo,ConfigurableMetadataProviderImpl,7,12
spring-roo,CreatorCommands,7,9
spring-roo,CreatorOperationsImpl,82,17
spring-roo,DataOnDemandAnnotationValues,3,5
spring-roo,DataOnDemandCommands,4,9
spring-roo,DataOnDemandMetadata,193,22
spring-roo,DataOnDemandMetadataProviderImpl,57,33
spring-roo,DataOnDemandOperationsImpl,4,18
spring-roo,EmbeddedHolder,4,2
spring-roo,EmbeddedIdHolder,4,2
spring-roo,DataOnDemandAnnotationValuesTest,2,3
spring-roo,DtoAnnotationValues,2,4
spring-roo,DtoCommands,53,30
spring-roo,DtoFieldCreatorProvider,160,34
spring-roo,DtoMetadata,11,9
spring-roo,DtoMetadataProviderImpl,8,18
spring-roo,DtoOperationsImpl,37,29
spring-roo,EntityProjectionAnnotationValues,3,5
spring-roo,EntityProjectionMetadata,9,9
spring-roo,EntityProjectionMetadataProviderImpl,14,18
spring-roo,FieldCommands,199,39
spring-roo,FinderMethod,7,3
spring-roo,Direction,6,2
spring-roo,FinderParameter,6,2
spring-roo,Part,42,9
spring-roo,Order,10,4
spring-roo,OrderBySource,12,5
spring-roo,PartTree,49,11
spring-roo,Subject,52,5
spring-roo,Type,28,3
spring-roo,OrPart,8,3
spring-roo,Predicate,40,8
spring-roo,PartTreeUnitTest,97,8
spring-roo,DynamicFinderServicesImpl,86,15
spring-roo,FieldToken,7,4
