ARQUIVO,FALHA
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[10](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.063 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.068 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[23](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[23](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[24](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[24](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[25](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[25](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.057 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[26](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[26](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[27](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[27](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[28](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[28](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[29](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[29](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[30](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[30](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.06 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[31](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[31](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[32](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[32](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[33](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[33](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[34](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.043 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[34](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[35](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[35](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[36](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.053 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[36](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[37](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[37](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[38](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[38](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[39](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[39](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.062 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[40](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[40](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
